n,kernel_us,launch_us,e2e_us,variant,correct
8,40.6720,10.4000,63.0000,naive,1
16,19.0080,10.2000,57.0000,naive,1
32,22.3040,10.9000,53.5000,naive,1
64,19.9360,12.0000,41.8000,naive,1
128,31.8080,15.6000,65.5000,naive,1
256,70.9440,54.2000,172.8000,naive,1
512,322.4640,315.4000,633.1000,naive,1
1024,1920.5440,1903.9000,2872.5000,naive,1
8,19.7120,9.0000,43.4000,tiled,1
16,21.5680,9.1000,48.4000,tiled,1
32,17.9520,8.6000,45.2000,tiled,1
64,19.5520,9.6000,46.1000,tiled,1
128,29.2160,12.7000,64.1000,tiled,1
256,58.2720,40.1000,197.9000,tiled,1
512,244.5760,227.0000,544.6000,tiled,1
1024,1716.2240,1702.2000,2638.1000,tiled,1
